request_count,endpoint_hits,global_traffic,hour,label
18,3,90,12,0
3,1,40,3,0
2,5,26,21,0
20,3,53,5,0
15,2,71,8,0
6,2,39,4,0
2,2,97,19,0
2,5,74,1,0
16,1,46,15,0
4,1,21,18,0
6,4,63,4,0
20,2,29,20,0
18,1,23,5,0
2,2,36,8,0
13,4,80,9,0
13,1,81,0,0
2,5,95,13,0
11,1,57,18,0
19,5,82,4,0
17,5,57,2,0
3,3,86,6,0
19,4,51,11,0
4,3,85,22,0
9,3,40,12,0
2,2,34,19,0
11,2,52,9,0
14,5,70,6,0
2,4,36,16,0
18,1,51,10,0
8,5,52,21,0
1,5,93,15,0
7,2,32,5,0
10,4,58,11,0
20,5,41,18,0
13,2,29,12,0
9,2,39,4,0
14,2,73,23,0
20,4,100,2,0
20,4,25,12,0
13,1,42,14,0
1,3,62,10,0
11,2,94,10,0
14,4,62,4,0
2,3,78,4,0
8,2,74,8,0
19,3,95,0,0
16,2,49,18,0
19,3,33,5,0
2,4,61,1,0
10,4,41,22,0
16,1,40,2,0
19,4,86,3,0
17,1,43,1,0
1,1,58,22,0
1,4,40,16,0
12,2,95,4,0
17,3,20,22,0
1,2,98,1,0
9,1,22,8,0
8,3,69,6,0
7,3,35,6,0
8,3,62,10,0
20,3,66,7,0
2,4,38,1,0
4,1,57,6,0
12,5,100,11,0
8,4,87,13,0
16,4,54,20,0
3,5,86,10,0
20,4,60,13,0
4,3,70,13,0
20,4,89,5,0
16,1,45,9,0
12,4,86,6,0
11,5,58,20,0
16,5,59,18,0
6,3,73,15,0
17,2,28,19,0
12,4,97,6,0
12,2,90,15,0
5,3,83,17,0
9,5,32,23,0
20,2,51,17,0
16,3,31,1,0
15,5,63,21,0
4,1,30,20,0
8,1,65,20,0
12,3,90,0,0
11,4,41,3,0
1,4,98,3,0
17,5,42,2,0
10,3,32,14,0
7,5,94,11,0
15,3,96,19,0
11,5,98,5,0
6,2,64,4,0
18,5,32,12,0
18,4,100,23,0
4,4,39,0,0
14,4,76,5,0
2,4,63,14,0
12,1,30,17,0
1,4,93,23,0
3,3,23,10,0
3,4,51,22,0
6,5,43,1,0
19,1,52,21,0
12,2,64,14,0
16,5,73,23,0
17,5,31,12,0
7,3,64,3,0
8,1,73,4,0
6,3,54,14,0
1,2,60,1,0
9,2,75,6,0
7,2,55,17,0
5,1,71,8,0
18,5,84,7,0
8,3,45,11,0
13,4,35,11,0
12,4,27,2,0
9,1,44,23,0
10,2,40,17,0
17,4,56,12,0
18,2,96,13,0
3,3,98,23,0
2,4,73,14,0
18,4,80,19,0
7,1,20,4,0
5,2,32,16,0
12,2,67,1,0
4,2,86,18,0
20,5,34,2,0
14,4,23,19,0
14,1,27,11,0
4,2,100,22,0
12,5,64,5,0
1,2,33,6,0
10,2,68,22,0
11,1,75,5,0
11,1,59,6,0
8,5,29,19,0
4,1,84,11,0
14,5,52,13,0
6,5,88,17,0
1,5,70,11,0
13,4,71,14,0
17,4,86,18,0
1,5,79,6,0
11,2,33,12,0
16,5,84,10,0
14,4,35,17,0
12,2,38,4,0
4,5,87,22,0
8,3,24,16,0
5,3,78,19,0
2,5,39,20,0
7,3,87,9,0
4,3,27,0,0
19,2,57,14,0
14,3,96,20,0
7,2,51,0,0
8,4,54,20,0
13,2,45,15,0
20,2,67,6,0
17,3,26,4,0
6,4,95,0,0
7,3,70,5,0
7,3,58,5,0
9,2,70,22,0
16,5,60,9,0
15,3,52,20,0
15,5,38,8,0
10,3,31,3,0
8,3,40,18,0
11,5,21,0,0
20,5,93,11,0
1,2,59,21,0
7,4,23,12,0
15,5,86,0,0
14,3,66,10,0
11,3,88,17,0
10,3,52,3,0
15,2,35,21,0
9,3,69,2,0
3,3,77,14,0
20,5,92,5,0
17,2,40,0,0
10,4,21,2,0
18,3,37,21,0
12,4,77,8,0
12,4,58,1,0
9,3,97,18,0
13,3,21,6,0
19,4,28,20,0
5,1,90,22,0
4,3,83,21,0
10,4,32,22,0
12,2,99,20,0
6,4,74,9,0
13,3,47,19,0
18,1,75,0,0
7,4,54,6,0
16,3,96,7,0
6,2,74,13,0
5,4,95,15,0
7,1,40,2,0
4,1,83,9,0
1,3,85,11,0
4,5,51,18,0
17,4,73,3,0
8,5,45,8,0
19,5,78,0,0
16,2,41,17,0
12,3,79,2,0
15,4,60,23,0
4,3,100,18,0
7,1,61,10,0
9,2,86,16,0
1,1,95,14,0
19,3,97,20,0
18,3,87,21,0
13,1,68,10,0
2,5,89,18,0
19,2,36,10,0
3,5,78,23,0
19,3,39,4,0
3,4,90,13,0
12,5,23,14,0
15,5,71,20,0
2,1,30,16,0
10,3,27,12,0
7,2,64,14,0
14,1,42,3,0
9,1,51,5,0
8,5,82,19,0
7,2,51,8,0
11,3,83,23,0
5,2,40,2,0
15,3,42,2,0
18,5,39,16,0
3,1,96,16,0
9,2,86,0,0
4,5,88,9,0
17,2,21,9,0
4,5,55,16,0
3,2,69,23,0
1,4,23,10,0
8,4,74,15,0
12,5,81,16,0
13,1,70,10,0
3,1,65,1,0
13,2,49,13,0
15,5,65,13,0
13,1,35,12,0
15,5,76,21,0
10,1,34,12,0
8,1,91,4,0
6,1,69,6,0
12,1,33,17,0
15,3,47,20,0
17,1,51,17,0
12,2,45,6,0
19,1,99,19,0
15,1,99,14,0
13,1,62,14,0
11,2,71,12,0
2,4,41,18,0
7,3,46,20,0
10,5,93,2,0
1,3,42,13,0
7,3,74,1,0
11,5,71,18,0
16,5,92,1,0
17,2,29,10,0
7,2,85,14,0
5,1,74,2,0
15,3,60,14,0
20,3,90,19,0
6,4,98,21,0
19,1,42,21,0
4,4,22,10,0
1,3,89,15,0
11,2,52,2,0
11,2,91,21,0
14,4,57,7,0
11,3,35,23,0
16,2,31,0,0
10,1,98,5,0
20,5,25,6,0
12,4,35,21,0
3,4,51,13,0
20,4,70,4,0
13,4,33,0,0
16,5,79,17,0
3,2,85,9,0
1,5,63,0,0
19,3,97,7,0
1,4,74,9,0
17,3,69,9,0
12,4,43,16,0
6,1,88,13,0
8,5,80,8,0
6,3,23,0,0
7,2,92,3,0
10,5,78,6,0
8,2,75,12,0
12,3,63,0,0
1,4,51,18,0
9,3,82,19,0
17,5,50,14,0
14,3,100,13,0
11,3,37,11,0
15,5,69,12,0
2,3,66,2,0
13,1,82,22,0
8,1,51,5,0
9,3,90,2,0
10,5,37,17,0
2,3,53,20,0
11,1,44,23,0
12,3,91,15,0
3,5,77,19,0
1,1,94,17,0
4,3,91,17,0
1,4,93,20,0
12,1,52,6,0
10,4,28,5,0
13,5,61,11,0
9,1,77,4,0
8,3,72,21,0
8,3,50,14,0
1,5,49,15,0
6,2,30,6,0
9,4,20,8,0
16,1,31,16,0
5,2,84,15,0
1,3,37,18,0
18,3,63,7,0
15,1,68,12,0
12,1,27,4,0
5,5,42,11,0
14,2,88,5,0
3,2,71,2,0
5,3,22,13,0
11,2,71,17,0
15,2,59,2,0
8,1,32,17,0
18,1,100,16,0
7,4,97,4,0
19,5,21,18,0
12,1,72,0,0
1,4,77,15,0
6,4,25,13,0
16,5,86,0,0
12,3,31,15,0
3,3,74,0,0
9,4,92,19,0
15,1,62,22,0
7,1,27,15,0
9,4,38,14,0
12,1,77,0,0
10,5,58,0,0
16,5,86,19,0
11,3,42,19,0
8,1,88,3,0
15,4,52,7,0
6,4,69,2,0
16,3,53,12,0
19,2,37,22,0
8,5,93,14,0
14,2,74,10,0
4,1,63,7,0
6,4,87,19,0
17,3,79,8,0
11,5,43,0,0
4,2,29,19,0
3,1,28,10,0
18,2,27,3,0
2,5,48,15,0
4,1,20,16,0
1,5,41,15,0
8,1,92,5,0
8,3,77,13,0
3,5,35,8,0
12,2,99,13,0
17,1,47,20,0
20,2,99,5,0
1,1,73,6,0
9,5,51,2,0
7,3,23,15,0
3,3,93,1,0
19,1,73,19,0
9,3,64,10,0
15,2,28,11,0
20,3,57,12,0
13,1,68,17,0
20,2,86,5,0
20,4,34,19,0
20,4,74,11,0
11,2,100,21,0
8,2,63,14,0
19,1,70,5,0
11,1,47,15,0
19,1,66,19,0
20,4,84,20,0
9,4,79,0,0
13,4,68,21,0
20,5,76,6,0
5,1,80,1,0
2,3,26,15,0
18,5,45,6,0
19,5,100,4,0
4,5,59,6,0
16,1,63,22,0
8,3,99,1,0
14,3,50,9,0
12,3,29,1,0
20,5,54,19,0
19,5,24,22,0
4,2,50,6,0
11,5,73,19,0
13,1,51,22,0
6,3,79,13,0
6,4,24,21,0
5,1,87,22,0
15,4,53,18,0
5,2,55,1,0
19,3,33,23,0
6,5,28,5,0
20,4,84,3,0
8,1,56,6,0
6,2,92,22,0
16,3,46,3,0
17,4,60,0,0
8,2,39,22,0
10,1,50,19,0
10,5,22,19,0
11,1,50,2,0
2,1,44,20,0
4,4,25,3,0
14,3,85,17,0
17,5,78,8,0
16,4,86,19,0
5,2,63,22,0
16,5,37,10,0
10,2,92,17,0
17,4,57,16,0
13,5,27,22,0
8,5,53,15,0
16,2,43,0,0
2,3,80,22,0
15,2,60,18,0
8,5,27,14,0
14,3,69,0,0
6,5,22,20,0
15,3,82,15,0
1,3,53,18,0
5,5,56,15,0
7,4,22,11,0
20,4,81,20,0
10,5,95,17,0
16,3,73,5,0
10,5,60,21,0
12,4,96,23,0
9,1,47,20,0
11,1,94,17,0
19,5,89,9,0
20,5,76,18,0
20,4,37,22,0
9,3,32,0,0
17,5,26,9,0
9,2,32,17,0
19,3,48,5,0
10,3,28,3,0
1,1,82,19,0
19,2,90,15,0
13,3,89,18,0
1,5,74,5,0
19,4,29,0,0
1,3,39,0,0
18,3,33,21,0
8,2,54,3,0
7,5,66,20,0
3,2,92,17,0
13,2,46,6,0
7,1,88,4,0
20,1,97,17,0
17,4,60,8,0
20,1,55,3,0
8,1,22,21,0
15,3,76,4,0
10,4,98,2,0
4,4,37,23,0
10,5,36,1,0
11,2,42,4,0
19,2,88,7,0
20,4,92,10,0
4,4,89,22,0
14,5,88,18,0
20,2,29,22,0
10,4,77,3,0
9,3,31,2,0
9,2,84,4,0
8,3,33,15,0
13,5,62,22,0
6,4,82,6,0
1,1,92,22,0
6,2,83,12,0
3,4,97,16,0
5,4,81,15,0
3,2,86,6,0
17,1,54,9,0
8,1,52,2,0
14,3,98,7,0
15,1,80,4,0
15,2,59,0,0
20,4,68,1,0
11,2,88,20,0
3,1,33,19,0
8,1,79,21,0
10,2,69,8,0
16,2,56,17,0
10,3,59,2,0
8,2,27,4,0
18,5,62,21,0
16,5,59,19,0
1,4,65,12,0
10,5,68,17,0
3,4,26,20,0
15,2,30,18,0
5,4,50,16,0
15,2,92,7,0
15,5,72,9,0
13,5,31,2,0
1,1,79,19,0
5,1,49,8,0
6,1,100,12,0
13,1,56,21,0
12,1,81,16,0
4,4,78,0,0
4,4,31,10,0
12,3,63,2,0
16,1,20,16,0
7,1,30,21,0
20,4,92,2,0
6,2,99,3,0
18,4,25,10,0
3,3,70,12,0
16,1,85,1,0
7,4,76,7,0
1,5,70,12,0
15,3,45,1,0
8,1,36,5,0
19,4,66,22,0
3,4,51,21,0
10,1,55,13,0
8,2,32,3,0
7,1,64,5,0
16,5,76,14,0
12,2,50,23,0
3,5,28,8,0
15,5,92,18,0
2,5,70,18,0
11,4,86,23,0
9,1,87,6,0
9,4,59,6,0
15,2,74,11,0
16,1,85,9,0
20,1,90,1,0
17,4,60,5,0
7,3,24,7,0
19,1,95,18,0
18,5,60,22,0
20,5,20,17,0
15,3,73,22,0
4,3,64,13,0
18,3,28,12,0
14,3,82,8,0
18,5,80,5,0
1,2,87,18,0
6,1,95,5,0
18,5,85,18,0
2,3,30,1,0
9,1,67,9,0
20,1,51,10,0
14,3,21,17,0
8,2,60,12,0
4,3,96,23,0
13,5,58,2,0
19,2,81,13,0
16,1,31,12,0
20,3,89,3,0
13,3,95,11,0
18,2,38,6,0
2,4,43,17,0
15,4,35,1,0
18,2,97,5,0
11,2,89,23,0
17,1,23,7,0
14,5,76,13,0
18,5,22,13,0
15,1,64,5,0
5,1,68,16,0
16,2,36,5,0
19,2,31,17,0
19,1,99,3,0
16,4,24,7,0
13,2,98,5,0
11,1,23,13,0
6,4,92,20,0
2,5,51,16,0
16,5,41,14,0
3,3,21,17,0
3,5,50,15,0
20,5,38,21,0
5,2,75,4,0
11,1,76,2,0
11,3,43,16,0
4,3,59,19,0
15,3,29,22,0
8,2,65,2,0
4,5,74,9,0
14,5,50,8,0
5,5,50,5,0
17,2,83,19,0
20,2,60,11,0
18,1,53,19,0
15,5,84,9,0
6,1,98,19,0
15,4,49,15,0
20,1,99,16,0
12,3,28,13,0
4,1,39,18,0
15,1,38,21,0
17,1,89,14,0
15,3,73,4,0
6,5,31,14,0
15,4,83,12,0
6,2,92,10,0
5,1,71,0,0
15,5,66,1,0
18,5,67,22,0
11,3,68,18,0
16,1,40,3,0
14,3,56,9,0
5,3,94,2,0
6,2,42,17,0
20,4,84,6,0
8,1,78,15,0
8,5,73,22,0
1,4,75,12,0
6,2,59,21,0
18,3,31,18,0
12,1,39,1,0
18,2,71,13,0
4,4,92,11,0
17,2,83,10,0
8,2,88,8,0
18,3,42,2,0
9,5,79,4,0
2,1,41,2,0
13,3,83,23,0
2,4,54,5,0
5,2,49,1,0
4,4,75,13,0
20,2,84,14,0
19,3,60,1,0
18,2,94,5,0
2,2,98,7,0
10,4,43,13,0
13,5,27,20,0
6,3,50,13,0
7,1,31,18,0
1,3,47,17,0
4,5,36,15,0
17,3,44,15,0
18,2,81,10,0
14,4,20,8,0
5,1,94,2,0
1,4,40,5,0
11,2,97,19,0
10,5,59,9,0
12,1,22,3,0
1,3,38,5,0
9,2,35,2,0
3,2,68,21,0
12,5,58,10,0
6,3,87,10,0
10,1,69,5,0
4,2,86,12,0
7,5,64,13,0
8,4,86,12,0
4,5,39,22,0
6,1,100,4,0
13,2,72,13,0
11,3,39,3,0
5,4,47,13,0
7,2,86,23,0
5,2,67,15,0
1,3,26,9,0
14,3,73,11,0
6,4,43,14,0
13,3,91,20,0
4,2,28,21,0
15,3,49,21,0
16,3,78,20,0
10,1,34,16,0
10,4,53,0,0
16,4,78,14,0
13,4,31,19,0
9,1,93,17,0
19,2,65,11,0
6,1,94,5,0
20,2,53,5,0
11,4,42,13,0
16,2,23,14,0
8,5,71,19,0
1,5,86,0,0
2,5,54,10,0
14,2,44,8,0
12,2,28,19,0
20,5,68,15,0
17,3,98,10,0
16,3,91,21,0
10,3,53,17,0
13,1,48,11,0
18,5,67,14,0
3,1,36,16,0
20,3,50,9,0
8,1,29,1,0
10,2,72,13,0
1,5,92,5,0
18,2,39,23,0
7,2,32,3,0
15,1,49,16,0
7,5,45,12,0
17,4,62,2,0
5,3,94,17,0
15,4,36,2,0
12,2,97,13,0
18,1,56,6,0
5,2,47,4,0
17,5,68,8,0
9,1,50,1,0
3,3,66,14,0
12,3,21,1,0
10,2,74,2,0
9,2,54,21,0
6,4,45,19,0
6,1,39,17,0
3,2,78,5,0
15,3,24,21,0
20,2,94,23,0
4,1,58,17,0
19,4,52,16,0
2,1,60,21,0
4,1,70,1,0
14,4,84,7,0
10,2,37,20,0
2,4,43,3,0
14,3,69,5,0
10,5,24,6,0
18,4,98,9,0
9,3,56,19,0
17,2,22,17,0
11,1,46,18,0
11,1,76,16,0
5,2,37,23,0
1,3,84,16,0
12,1,66,5,0
3,3,87,15,0
12,4,40,9,0
10,1,61,8,0
19,3,29,6,0
8,5,83,23,0
2,1,83,10,0
6,1,61,1,0
17,4,45,11,0
1,1,92,23,0
4,1,82,20,0
13,4,62,15,0
5,2,55,2,0
3,2,52,9,0
14,3,81,22,0
12,4,35,16,0
10,2,61,10,0
6,1,57,23,0
17,2,64,8,0
12,5,28,17,0
5,2,77,9,0
10,4,60,20,0
1,1,69,1,0
15,3,26,2,0
4,3,42,23,0
15,4,23,14,0
6,3,81,10,0
9,1,28,19,0
7,5,80,23,0
14,2,93,21,0
14,2,53,20,0
1,2,38,23,0
16,1,49,18,0
1,5,91,16,0
15,2,88,8,0
14,3,62,17,0
2,1,53,17,0
20,5,83,21,0
20,3,54,3,0
1,5,70,18,0
5,5,82,4,0
4,4,67,12,0
15,2,76,9,0
13,5,29,9,0
6,4,46,2,0
10,5,86,5,0
17,5,38,3,0
10,2,71,17,0
3,4,28,16,0
19,2,40,16,0
18,3,86,11,0
7,5,81,6,0
5,2,90,12,0
13,1,61,23,0
13,5,39,17,0
20,2,33,23,0
17,1,75,18,0
3,1,61,5,0
12,1,73,23,0
2,4,97,5,0
13,4,34,17,0
6,2,65,23,0
7,4,92,19,0
4,1,86,3,0
5,4,70,7,0
8,1,63,19,0
17,4,72,1,0
19,2,32,1,0
2,3,54,9,0
1,2,73,21,0
10,2,79,10,0
1,4,98,5,0
15,2,82,9,0
9,5,50,19,0
3,2,94,5,0
16,3,37,5,0
7,3,94,10,0
7,3,81,17,0
6,5,52,9,0
4,5,91,17,0
7,2,60,17,0
8,1,44,0,0
3,5,43,11,0
1,5,80,2,0
14,4,20,15,0
14,4,35,23,0
17,3,68,6,0
5,1,91,17,0
18,2,29,5,0
2,5,26,19,0
17,5,91,16,0
5,1,36,7,0
19,4,67,16,0
12,2,48,14,0
3,3,57,4,0
3,1,76,7,0
18,2,20,4,0
14,1,58,1,0
17,1,68,2,0
3,5,95,2,0
19,4,52,10,0
15,2,66,18,0
3,4,54,12,0
2,3,58,22,0
19,1,59,5,0
5,4,72,1,0
7,2,55,2,0
15,1,69,4,0
12,1,76,20,0
20,4,78,3,0
18,1,76,23,0
19,5,62,14,0
6,3,85,20,0
10,5,39,10,0
19,2,94,12,0
8,5,40,11,0
17,1,100,0,0
17,5,65,13,0
13,3,27,14,0
14,1,73,6,0
17,1,55,7,0
15,3,41,10,0
20,2,43,5,0
14,3,30,7,0
16,2,99,2,0
20,4,50,15,0
16,5,33,3,0
1,4,80,2,0
10,1,67,1,0
18,1,27,7,0
20,2,34,8,0
18,3,68,19,0
5,5,26,18,0
7,3,88,7,0
19,4,83,19,0
13,1,59,1,0
11,4,95,14,0
19,2,46,9,0
20,5,80,18,0
12,3,94,23,0
20,2,95,10,0
3,2,63,23,0
19,1,70,7,0
2,2,23,1,0
13,2,45,4,0
6,3,63,3,0
17,2,20,2,0
6,3,31,9,0
5,3,25,5,0
15,2,50,9,0
14,3,56,6,0
16,3,59,20,0
12,5,93,11,0
8,3,32,4,0
3,1,41,10,0
20,2,69,12,0
18,1,31,3,0
5,5,59,17,0
7,3,67,0,0
13,4,44,9,0
6,4,88,4,0
12,5,60,6,0
12,3,79,23,0
12,1,40,8,0
9,3,59,14,0
18,5,53,21,0
15,3,87,11,0
4,3,89,0,0
10,2,22,13,0
5,4,81,19,0
13,5,22,8,0
5,1,37,14,0
3,2,29,16,0
2,4,71,20,0
18,4,87,9,0
14,3,77,23,0
7,5,98,8,0
8,2,37,20,0
15,2,58,2,0
1,1,92,20,0
7,2,37,6,0
15,1,56,12,0
15,2,27,8,0
1,3,45,6,0
6,1,37,17,0
14,1,30,12,0
19,3,85,12,0
17,2,99,2,0
7,1,22,23,0
13,5,52,5,0
6,1,67,2,0
1,4,41,22,0
10,2,88,14,0
4,2,31,6,0
3,3,39,6,0
12,5,75,13,0
4,2,74,19,0
14,2,97,20,0
4,4,37,4,0
6,4,94,0,0
8,4,67,3,0
5,4,35,5,0
18,5,95,1,0
9,3,71,21,0
19,3,21,22,0
6,4,83,18,0
